timestamp,instrument,sector,mode,provider,model,temperature,execution_time,overall_score,grade,structure,data_richness,sophistication,actionability,sentiment_balance
2026-05-24T11:01:22.989935,XOM,Energy,group_chat,openai,gpt-4.1,0.2,163.15,90.91,A,93.3,100,74.9,100.0,76.0
2026-05-24T11:04:29.535651,XOM,Energy,group_chat,openai,gpt-4.1,0.2,180.85,90.01,A,94.7,100,68.7,100.0,76.0
2026-05-24T11:07:53.259417,XOM,Energy,group_chat,openai,gpt-4.1,0.2,199.8,87.95,B,76.0,100,75.9,100.0,87.7
2026-05-24T11:11:35.939992,XOM,Energy,group_chat,openai,gpt-4.1,0.2,193.61,83.82,B,76.0,90.5,76.9,100.0,68.2
2026-05-24T11:15:52.420942,WMT,Consumer Staples,group_chat,openai,gpt-4.1,0.2,208.9,91.78,A,96.0,100,67.7,100.0,92.3
2026-05-24T11:19:44.199386,WMT,Consumer Staples,group_chat,openai,gpt-4.1,0.2,193.7,91.47,A,94.7,100,65.8,100.0,96.4
2026-05-24T11:23:21.299498,WMT,Consumer Staples,group_chat,openai,gpt-4.1,0.2,213.04,91.41,A,94.7,100,65.7,100.0,96.2
2026-05-24T11:27:17.228868,WMT,Consumer Staples,group_chat,openai,gpt-4.1,0.2,192.77,91.86,A,96.0,100,73.2,100.0,82.1
2026-05-24T11:30:53.399284,WMT,Consumer Staples,group_chat,openai,gpt-4.1,0.2,212.0,91.62,A,96.0,100,64.7,100.0,96.8
2026-05-24T11:35:28.514638,KO,Consumer Staples,group_chat,openai,gpt-4.1,0.2,188.2,89.41,B,97.3,100,67.6,100.0,65.6
2026-05-24T11:38:59.609267,KO,Consumer Staples,group_chat,openai,gpt-4.1,0.2,155.17,88.24,B,94.7,100,72.9,100.0,50.0
2026-05-24T11:41:57.688024,KO,Consumer Staples,group_chat,openai,gpt-4.1,0.2,536.38,90.14,A,96.0,100,71.3,100.0,68.8
2026-05-24T11:51:17.495399,KO,Consumer Staples,group_chat,openai,gpt-4.1,0.2,147.94,88.02,B,94.7,100,66.3,100.0,61.0
2026-05-24T11:54:09.315357,KO,Consumer Staples,group_chat,openai,gpt-4.1,0.2,165.12,89.3,B,94.7,100,75.3,100.0,55.7
2026-05-24T11:57:57.840223,CAT,Industrials,group_chat,openai,gpt-4.1,0.2,183.18,89.99,B,97.3,100,67.0,100.0,72.5
2026-05-24T12:01:24.905110,CAT,Industrials,group_chat,openai,gpt-4.1,0.2,163.88,83.69,B,76.0,100,70.9,100.0,55.2
2026-05-24T12:04:34.406771,CAT,Industrials,group_chat,openai,gpt-4.1,0.2,163.87,85.67,B,77.3,100,74.9,100.0,63.5
2026-05-24T12:07:41.673314,CAT,Industrials,group_chat,openai,gpt-4.1,0.2,191.32,90.89,A,97.3,100,75.6,100.0,64.4
2026-05-24T12:11:17.136336,CAT,Industrials,group_chat,openai,gpt-4.1,0.2,168.39,84.34,B,73.3,100,71.7,100.0,66.7
